date,Hombre Cis,Mujer Cis,Otros,Prefiero no decir
2020-02-02,75000.0,62000,56375,
2020-08-15,100000.0,83000,98000,
2021-02-15,115000.0,92000,108900,112911.0
2021-08-23,165000.0,133000,165860,160000.0
2022-02-21,192886.66,160000,180000,200000.0
2023-01-07,350000.0,300000,320009,345000.0
2023-07-11,518666.0,420000,478000,500000.0
2024-06-24,1800000.0,1500000,1500000,2450000.0
2025-02-04,2400000.0,1984500,1768219,2305000.0
2025-08-08,3000000.0,2297693,2001539,3055000.0
2026-03-04,3445416.5,2800000,2500000,4000000.0
