date,ars,ars_const,usd_oficial,usd_blue
2020-02-02,73000.0,2682247.71,1205.36,986.49
2020-08-15,95300.0,3023640.77,1302.71,750.39
2021-02-15,110000.0,2968204.2,1238.16,758.62
2021-08-23,160000.0,3344870.51,1642.04,906.52
2022-02-21,188400.0,3242659.83,1758.88,910.14
2023-01-07,345000.0,3166300.9,1924.71,985.71
2023-07-11,500000.0,3226636.09,1901.05,1014.2
2024-06-24,1700000.0,2914885.56,1870.96,1295.24
2025-02-04,2289156.5,3098126.67,2175.86,1915.61
2025-08-08,2877951.0,3438878.16,2171.42,2201.11
2026-03-04,3253581.27,3253581.27,2327.51,2323.99
