provincia,dedicacion,tipo_contrato,salario_bruto_ars,salario_neto_ars,sueldo_dolarizado,seniority,rol,anios_experiencia,modalidad,genero,tamanio_empresa,lenguajes,conformidad_ingresos,buscando_trabajo,lenguaje_principal,experiencia_bucket
Mendoza,Full-Time,Staff (planta permanente),3000000.0,2400000.0,True,Senior,Developer,15,Híbrido (presencial y remoto),Mujer Cis,De 1001 a 2000 personas,".NET, C#, CSS, Go, HTML, Java, Javascript, SQL",2,"No, pero escucho ofertas.",.NET,10+ años
Santa Fe,Full-Time,Contractor,5000000.0,5000000.0,True,Senior,Developer,25,100% remoto,Mujer Cis,De 51 a 100 personas,".NET, C#, HTML, Javascript, SQL",3,"No, estoy muy conforme.",.NET,10+ años
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),4600000.0,3600000.0,True,Senior,Developer,7,100% remoto,Mujer Cis,De 51 a 100 personas,"Go, SQL",3,"No, pero escucho ofertas.",Go,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),7800000.0,6000000.0,True,Senior,Manager / Director,25,Híbrido (presencial y remoto),Hombre Cis,Más de 10000 personas,Ninguno de los anteriores,1,"Sí, estoy buscando activamente.",Ninguno de los anteriores,10+ años
Jujuy,Full-Time,Contractor,3500000.0,3200000.0,True,Semi-Senior,SysAdmin / DevOps / SRE,3,100% remoto,Hombre Cis,De 51 a 100 personas,"Bash/Shell, Python",3,"Sí, estoy buscando activamente.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,8460000.0,7200000.0,True,Senior,Manager / Director,19,100% remoto,Hombre Cis,De 51 a 100 personas,".NET, C#, CSS, Go, HTML, Java, Javascript, SQL",3,"Sí, estoy buscando activamente.",.NET,10+ años
Buenos Aires,Full-Time,Contractor,6400000.0,6400000.0,True,Semi-Senior,SysAdmin / DevOps / SRE,4,100% remoto,Hombre Cis,De 101 a 200 personas,"Go, PHP, Python, SQL",3,"No, pero escucho ofertas.",Go,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000.0,2500000.0,True,Semi-Senior,Functional Analyst,5,Híbrido (presencial y remoto),Mujer Cis,De 501 a 1000 personas,".NET, CSS, HTML, Javascript, Swift",3,"Sí, estoy buscando activamente.",.NET,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,6075000.0,6075000.0,True,Senior,HRBP,7,100% remoto,Mujer Cis,De 201 a 500 personas,Ninguno de los anteriores,4,"No, pero escucho ofertas.",Ninguno de los anteriores,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),11000000.0,7900000.0,True,Senior,QA / Tester,29,100% remoto,Hombre Cis,De 1001 a 2000 personas,"Javascript, SQL, TypeScript",3,"No, pero escucho ofertas.",Javascript,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2300000.0,1800000.0,True,Senior,Recruiter,7,Híbrido (presencial y remoto),Mujer Cis,De 51 a 100 personas,Ninguno de los anteriores,2,"Sí, estoy buscando activamente.",Ninguno de los anteriores,6-10 años
Córdoba,Full-Time,Contractor,9750000.0,9750000.0,True,Senior,Developer,16,100% remoto,Hombre Cis,De 1001 a 2000 personas,"Javascript, TypeScript",2,"Sí, estoy buscando activamente.",Javascript,10+ años
Buenos Aires,Full-Time,Staff (planta permanente),4800000.0,,True,Senior,Manager / Director,15,100% remoto,Hombre Cis,De 1001 a 2000 personas,Ninguno de los anteriores,2,"Sí, estoy buscando activamente.",Ninguno de los anteriores,10+ años
Santa Fe,Part-Time,Freelance,650000.0,600000.0,True,Semi-Senior,Recruiter,5,100% remoto,Mujer Cis,1 (solamente yo),Ninguno de los anteriores,1,"Sí, estoy buscando activamente.",Ninguno de los anteriores,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),6000000.0,,True,Semi-Senior,Data Scientist,3,100% remoto,Hombre Cis,Más de 10000 personas,Python,4,"No, pero escucho ofertas.",Python,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),3600000.0,2600000.0,True,Senior,Networking,12,Híbrido (presencial y remoto),Hombre Cis,Más de 10000 personas,Bash/Shell,3,"No, pero escucho ofertas.",Bash/Shell,10+ años
Santa Fe,Full-Time,Contractor,8589800.0,,True,Senior,Technical Leader,19,100% remoto,Hombre Cis,De 201 a 500 personas,"Java, Python, Scala, Domain Specific Language",3,"No, pero escucho ofertas.",Java,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4000000.0,3000000.0,True,Senior,Technical Leader,30,100% remoto,Hombre Cis,De 51 a 100 personas,".NET, C#, HTML, Java, PHP, Python, SQL, Ninguno de los anteriores",2,"Sí, estoy buscando activamente.",.NET,10+ años
Buenos Aires,Full-Time,Contractor,3000000.0,3000000.0,True,Semi-Senior,BI Analyst / Data Analyst,4,100% remoto,Hombre Cis,De 51 a 100 personas,"Python, R, SQL",3,"No, pero escucho ofertas.",Python,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4500000.0,3000000.0,True,Senior,Data Engineer,25,Híbrido (presencial y remoto),Hombre Cis,Más de 10000 personas,"COBOL, Python, SQL",2,"No, pero escucho ofertas.",COBOL,10+ años
Santa Fe,Full-Time,Staff (planta permanente),7415000.0,5932000.0,True,Senior,Developer,9,100% remoto,Hombre Cis,De 2001a 5000 personas,Java,4,"No, estoy muy conforme.",Java,6-10 años
Buenos Aires,Full-Time,Contractor,8000000.0,8000000.0,True,Semi-Senior,Data Scientist,5,100% remoto,Hombre Cis,De 2001a 5000 personas,"HTML, Python",4,"No, pero escucho ofertas.",HTML,3-5 años
Santa Fe,Full-Time,Staff (planta permanente),1800000.0,1500000.0,True,Semi-Senior,Developer,4,Híbrido (presencial y remoto),Hombre Cis,Más de 10000 personas,Javascript,1,"Sí, estoy buscando activamente.",Javascript,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3900000.0,3000000.0,True,Semi-Senior,Manager / Director,5,100% remoto,Hombre Cis,Más de 10000 personas,"Python, Ninguno de los anteriores",1,"Sí, estoy buscando activamente.",Python,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4950000.0,4950000.0,True,Senior,Infosec,7,100% remoto,Hombre Cis,De 201 a 500 personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,6-10 años
Santa Fe,Full-Time,Staff (planta permanente),4500000.0,3800000.0,True,Senior,Developer,9,100% remoto,Hombre Cis,De 201 a 500 personas,"Go, PHP, SQL",2,"No, pero escucho ofertas.",Go,6-10 años
Tucumán,Full-Time,Staff (planta permanente),4098000.0,3230000.0,True,Senior,QA / Tester,15,100% remoto,Hombre Cis,Más de 10000 personas,no aplica,2,"No, pero escucho ofertas.",no aplica,10+ años
